ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
tasty food,14,4.482,89.6
very famous,8,4.600,92.0
hostels were,26,4.554,91.1
hope people,2,4.700,94.0
there is,1003,4.541,90.8
lpa very,2,4.700,94.0
future challenges,2,4.700,94.0
i hope,10,4.540,90.8
college iit,14,4.529,90.6
way back,2,4.700,94.0
feel very,2,4.700,94.0
the academic,128,4.504,90.1
this also,6,4.667,93.3
companies and,149,4.557,91.1
helpful b,8,4.675,93.5
being at,14,4.682,93.6
score in,2,4.700,94.0
sandesh b,2,4.700,94.0
well maintained,285,4.524,90.5
placed in,756,4.548,91.0
which is,580,4.556,91.1
by faculty,6,4.675,93.5
big and,89,4.464,89.3
to first,11,4.527,90.5
the rest,110,4.592,91.8
s rooms,3,4.800,96.0
is adjustable,2,4.700,94.0
somewhat comfortable,2,4.700,94.0
for this,184,4.596,91.9
average score,2,4.700,94.0
who read,2,4.700,94.0
fi throughout,8,4.500,90.0
are tough,91,4.552,91.0
very intellectual,8,4.725,94.5
our senior,46,4.576,91.5
as time,7,4.457,89.1
campus classrooms,27,4.548,91.0
people who,66,4.524,90.5
were originally,2,4.700,94.0
the s,13,4.662,93.2
on jun,237,4.614,92.3
interesting reviewed,2,4.700,94.0
classrooms are,621,4.547,90.9
development companies,4,4.600,92.0
be taught,15,4.640,92.8
